brand, product_name, shipping
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 Ti Turbo 11GD| GV-N108TTURBO-11GD,$4.99 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 Ti SC GAMING| 04G-P4-6253-KR| 4GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
ASUS,ASUS GeForce GTX 1050 PH-GTX1050-2G Video Card,$4.99 Shipping
XFX,XFX Radeon RX 550 DirectX 12 RX-550P4LFG5 Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce GTX 1060 6G REV 2.0| GV-N1060AORUS-6GD R2,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card,$4.99 Shipping
ASUS,ASUS ROG Radeon RX Vega 56 STRIX-RXVEGA56-O8G-GAMING Video Card,$4.99 Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L Video Card w/ Backplate (UEFI)| SAMSUNG MEMORY,$4.99 Shipping
,MSI Radeon RX 580 DirectX 12 R X 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express ...,
,EVGA GeForce GTX 1060 DirectX 12 06G-P4-6262-KR 6GB 192-Bit GDDR5 PCI Express ...,
